sepal_width,sepal_length,petal_length,petal_width,species
2.9,6.4,4.3,1.3,versicolor
3,6.6,4.4,1.4,versicolor
2.8,6.8,4.8,1.4,versicolor
3,6.7,5,1.7,versicolor
2.9,6,4.5,1.5,versicolor
2.6,5.7,3.5,1,versicolor
2.4,5.5,3.8,1.1,versicolor
2.4,5.5,3.7,1,versicolor
2.7,5.8,3.9,1.2,versicolor
2.7,6,5.1,1.6,versicolor
3,5.4,4.5,1.5,versicolor
3.4,6,4.5,1.6,versicolor
3.1,6.7,4.7,1.5,versicolor
2.3,6.3,4.4,1.3,versicolor
3,5.6,4.1,1.3,versicolor
2.5,5.5,4,1.3,versicolor
2.6,5.5,4.4,1.2,versicolor
3,6.1,4.6,1.4,versicolor
2.6,5.8,4,1.2,versicolor
2.3,5,3.3,1,versicolor
2.7,5.6,4.2,1.3,versicolor
3,5.7,4.2,1.2,versicolor
2.9,5.7,4.2,1.3,versicolor
2.9,6.2,4.3,1.3,versicolor
2.5,5.1,3,1.1,versicolor
2.8,5.7,4.1,1.3,versicolor
3.3,6.3,6,2.5,virginica
2.7,5.8,5.1,1.9,virginica
3,7.1,5.9,2.1,virginica
2.9,6.3,5.6,1.8,virginica
3,6.5,5.8,2.2,virginica
3,7.6,6.6,2.1,virginica
2.5,4.9,4.5,1.7,virginica
2.9,7.3,6.3,1.8,virginica
2.5,6.7,5.8,1.8,virginica
3.6,7.2,6.1,2.5,virginica
3.2,6.5,5.1,2,virginica
2.7,6.4,5.3,1.9,virginica
3,6.8,5.5,2.1,virginica
2.5,5.7,5,2,virginica
2.8,5.8,5.1,2.4,virginica
3.2,6.4,5.3,2.3,virginica
3,6.5,5.5,1.8,virginica
3.8,7.7,6.7,2.2,virginica
2.6,7.7,6.9,2.3,virginica
2.2,6,5,1.5,virginica
3.2,6.9,5.7,2.3,virginica
2.8,5.6,4.9,2,virginica
2.8,7.7,6.7,2,virginica
2.7,6.3,4.9,1.8,virginica
3.3,6.7,5.7,2.1,virginica
3.2,7.2,6,1.8,virginica
2.8,6.2,4.8,1.8,virginica
3,6.1,4.9,1.8,virginica
2.8,6.4,5.6,2.1,virginica
3,7.2,5.8,1.6,virginica
2.8,7.4,6.1,1.9,virginica
3.8,7.9,6.4,2,virginica
2.8,6.4,5.6,2.2,virginica
2.8,6.3,5.1,1.5,virginica
2.6,6.1,5.6,1.4,virginica
3,7.7,6.1,2.3,virginica
3.4,6.3,5.6,2.4,virginica
3.1,6.4,5.5,1.8,virginica
3,6,4.8,1.8,virginica
3.1,6.9,5.4,2.1,virginica
3.1,6.7,5.6,2.4,virginica
3.1,6.9,5.1,2.3,virginica
2.7,5.8,5.1,1.9,virginica
3.2,6.8,5.9,2.3,virginica
3.3,6.7,5.7,2.5,virginica
3,6.7,5.2,2.3,virginica
2.5,6.3,5,1.9,virginica
3,6.5,5.2,2,virginica
3.4,6.2,5.4,2.3,virginica
3,5.9,5.1,1.8,virginica
